"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zbp1",1496.70723899863,3.34920486806777,0.145412325622112,23.0324689034371,2.20465600625704e-117,2.64338255150219e-114
"Abca2",1946.06934665276,-0.989632799710261,0.0435658021058001,-22.715817266647,3.12596198993021e-114,1.87401421296316e-111
"B2m",47966.8992345823,1.52763991890432,0.0676031384508254,22.5971745382136,4.6200330678144e-113,1.84647321610315e-110
"Nek6",996.466268678589,1.55672083581929,0.0750081525111551,20.7540218456625,1.12753374953249e-95,3.37978241422363e-93
"Knstrn",168.473144557002,3.50557534930305,0.229745689482442,15.2585032485276,1.44525517318194e-52,3.4657219052903e-50
"Tpx2",303.274089127007,4.42692959870219,0.300686064311803,14.722762788606,4.60457321804825e-49,9.20147214739976e-47
"Ckap2l",160.841716998085,4.86998892404845,0.340873155469682,14.2868068250731,2.64460347515908e-46,4.52982795245106e-44
"Lcn2",1871.18964768913,4.91185069097071,0.404043486148753,12.156737725905,5.28264262224467e-34,7.9173606300892e-32
"Gsn",876379.922304998,-1.36339860617314,0.113561867510839,-12.0057783132442,3.3133204593495e-33,4.41407914528894e-31
"Ogfr",1332.64172058894,1.04341246649815,0.0892040925218864,11.6969125182474,1.3217549513183e-31,1.58478418663064e-29
"Pamr1",7694.11296715253,-1.02330291738473,0.0935133789777864,-10.9428504089004,7.19030762688011e-28,7.83743531329932e-26
"Psmc3",3005.55370479562,0.476728471268139,0.0437006890761066,10.9089463197685,1.04460064545494e-27,1.04373014491706e-25
"Ube2l6",1701.15449423398,0.778559738943783,0.0714990334670454,10.8890945959798,1.2992549327237e-27,1.19831281871978e-25
"Fam129b",3120.96665718152,0.897740095603406,0.0829317555366148,10.8250463262779,2.61946655724557e-27,2.24338600152674e-25
"Eif6",1331.72844832086,0.653775686984615,0.0615362353346727,10.6242392539773,2.29878756653851e-26,1.83749752818645e-24
"Sardh",1702.70400910167,0.731791079986766,0.0689331909817162,10.6159466806181,2.51234682776753e-26,1.88268990405829e-24
"Gpr176",483.669961542506,1.66314154975666,0.159191152248131,10.4474496620536,1.50518380167119e-25,1.06159728129633e-23
"Surf4",8674.83319447836,0.625514197813377,0.0602592562641154,10.3803836388514,3.04548881452349e-25,2.02863393811871e-23
"Sox12",247.980303564601,1.57279590690445,0.152240488000781,10.3309962255007,5.10278370867536e-25,3.18181963963899e-23
"Bub1b",275.591188956146,2.70935296718463,0.262350566472639,10.327223621479,5.30745561240866e-25,3.18181963963899e-23
"Ube2c",95.8865480601733,5.0596365784986,0.49033219391885,10.3187933430615,5.7946807390287e-25,3.30848676480734e-23
"Arhgap11a",121.834875392713,2.45329681103323,0.240896959029228,10.1840090506729,2.33728996243271e-24,1.27382302952582e-22
"Spc25",61.3758759075036,4.77361676895378,0.482443173329265,9.89467160663047,4.39048989580589e-23,2.28878147177011e-21
"Mcm10",55.2934953638318,5.91721398884435,0.604056916494078,9.79578881935103,1.17377615322462e-22,5.86399003215132e-21
"Bub1",79.3561686516533,8.02251430937136,0.824185921178383,9.73386477883672,2.16218350023806e-22,1.03698320671417e-20
"Casc5",53.5604357182597,6.57924642849471,0.676383813932663,9.72709028952267,2.31109129590273e-22,1.06576863991822e-20
"Aurka",133.31750038209,2.46777208096892,0.25495733394503,9.67915706829982,3.6975189226312e-22,1.64197229193882e-20
"Rad51",83.449669634845,2.96808456098079,0.307905521098467,9.63959512772624,5.44021171067127e-22,2.32957637181959e-20
"Eif2s2",2001.69349347312,0.621785879293818,0.0651050882388642,9.55049591535069,1.29076921649959e-21,5.33666307097587e-20
"Ube2v1",2811.20846541564,0.431821910337675,0.0457937292927786,9.42971705966238,4.11196659067706e-21,1.6434159807406e-19
"Caprin1",5156.30465987512,0.707504034256495,0.0751720101073899,9.41180145702852,4.87705266618183e-21,1.88631811185549e-19
"Map1lc3a",2144.88108775808,-0.570583198795463,0.0607650717123797,-9.38998642997105,6.00079878251862e-21,2.24842429382495e-19
"Ncaph",108.426162679594,3.73114454887615,0.399553417539383,9.33828716033542,9.79050785796081e-21,3.55721785505909e-19
"Cdca7",102.413010230337,2.90308857092514,0.311386001984433,9.3231184203016,1.12970163470705e-20,3.98385958827575e-19
"Cst3",37540.1291095756,-0.600109332654871,0.0655861786117594,-9.14993593707064,5.69673207513527e-20,1.95153764516777e-18
"Rtn4rl2",426.277047476795,1.34512982397468,0.148854462322225,9.0365435002068,1.61704025254183e-19,5.38564239666016e-18
"Lamc3",1763.27512339535,-1.12112403501233,0.125630916262756,-8.92395015783782,4.49946393426713e-19,1.45806952896927e-17
